,TF,TG
0,Ndn,Myc
1,Rala,Fos
2,Pwp1,Stat3
3,Zfp36,Nfkb1
4,Gabpb1,Sod3
5,Rbmx,Jund
6,Hspb1,Cdkn1a
7,Gtf2b,Hspb1
8,Pttg1,Pttg1ip
9,Dnmt3a,Vtn
10,Stat2,Trp53
11,Arid5b,Sox9
12,Nfic,Pdgfra
13,Atf3,Tnfrsf10b
14,Atf1,Thbs1
15,Bcl3,Ubc
16,Csf1,Cd36
17,Fosl1,Thbs2
18,Cebpz,Hspa1b
19,Ash1l,Timp1
20,Tcf7l2,Myod1
21,Bub3,Apod
22,Ddx5,Igf2
23,Klf2,Thbd
24,Myc,Zfp36
25,Cebpg,Il6
26,Nfil3,Ptgs2
